Date,Release,CPI_YoY
1956-01,2/24/1956,0.4
1956-02,3/26/1956,0.4
1956-03,4/25/1956,0.4
1956-04,5/24/1956,0.7
1956-05,6/26/1956,1.1
1956-06,7/24/1956,1.9
1956-07,8/24/1956,2.2
1956-08,9/21/1956,1.9
1956-09,10/25/1956,1.9
1956-10,11/26/1956,2.2
1956-11,12/21/1956,2.2
1956-12,1/25/1957,3
1957-01,2/21/1957,3
1957-02,3/22/1957,3.4
1957-03,4/23/1957,3.7
1957-04,5/24/1957,3.7
1957-05,6/25/1957,3.7
1957-06,7/24/1957,3.3
1957-07,8/22/1957,3.3
1957-08,9/24/1957,3.7
1957-09,10/25/1957,3.3
1957-10,11/22/1957,2.9
1957-11,12/20/1957,3.3
1957-12,1/21/1958,2.9
1958-01,2/25/1958,3.6
1958-02,3/21/1958,3.2
1958-03,4/23/1958,3.6
1958-04,5/22/1958,3.6
1958-05,6/24/1958,3.2
1958-06,7/23/1958,2.8
1958-07,8/22/1958,2.5
1958-08,9/19/1958,2.1
1958-09,10/23/1958,2.1
1958-10,11/25/1958,2.1
1958-11,12/23/1958,2.1
1958-12,1/23/1959,1.8
1959-01,2/20/1959,1.4
1959-02,3/25/1959,1
1959-03,4/22/1959,0.3
1959-04,5/22/1959,0.3
1959-05,6/19/1959,0.3
1959-06,7/22/1959,0.7
1959-07,8/21/1959,0.7
1959-08,9/23/1959,1
1959-09,10/23/1959,1.4
1959-10,11/25/1959,1.7
1959-11,12/22/1959,1.4
1959-12,1/22/1960,1.7
1960-01,2/25/1960,1
1960-02,3/25/1960,1.7
1960-03,4/25/1960,1.7
1960-04,5/25/1960,1.7
1960-05,6/24/1960,1.7
1960-06,7/22/1960,1.7
1960-07,8/25/1960,1.4
1960-08,9/23/1960,1.4
1960-09,10/26/1960,1
1960-10,11/25/1960,1.4
1960-11,12/23/1960,1.4
1960-12,1/27/1961,1.4
1961-01,2/28/1961,1.7
1961-02,3/24/1961,1.4
1961-03,4/26/1961,1.4
1961-04,5/25/1961,1
1961-05,6/27/1961,1
1961-06,7/25/1961,0.7
1961-07,8/25/1961,1.4
1961-08,9/26/1961,1
1961-09,10/25/1961,1.4
1961-10,11/28/1961,0.7
1961-11,12/22/1961,0.7
1961-12,1/26/1962,0.7
1962-01,2/28/1962,0.7
1962-02,3/27/1962,1
1962-03,4/24/1962,1
1962-04,5/25/1962,1.3
1962-05,6/26/1962,1.3
1962-06,7/25/1962,1.3
1962-07,8/28/1962,1
1962-08,9/25/1962,1.3
1962-09,10/26/1962,1.3
1962-10,11/28/1962,1.3
1962-11,12/21/1962,1.3
1962-12,1/25/1963,1.3
1963-01,2/27/1963,1.3
1963-02,3/27/1963,1
1963-03,4/25/1963,1.3
1963-04,5/28/1963,1
1963-05,6/26/1963,1
1963-06,7/26/1963,1.3
1963-07,8/27/1963,1.3
1963-08,9/25/1963,1.3
1963-09,10/30/1963,1
1963-10,11/29/1963,1.3
1963-11,12/27/1963,1.3
1963-12,1/29/1964,1.6
1964-01,3/3/1964,1.6
1964-02,3/31/1964,1.6
1964-03,4/30/1964,1.3
1964-04,5/28/1964,1.3
1964-05,6/26/1964,1.3
1964-06,7/31/1964,1.3
1964-07,8/28/1964,1.3
1964-08,9/30/1964,1
1964-09,10/30/1964,1.3
1964-10,11/30/1964,1
1964-11,12/30/1964,1.3
1964-12,1/28/1965,1
1965-01,2/26/1965,1
1965-02,3/30/1965,1
1965-03,4/28/1965,1.3
1965-04,5/27/1965,1.6
1965-05,6/30/1965,1.6
1965-06,7/29/1965,1.9
1965-07,8/27/1965,1.6
1965-08,9/29/1965,1.9
1965-09,10/28/1965,1.6
1965-10,11/30/1965,1.9
1965-11,12/30/1965,1.6
1965-12,1/27/1966,1.9
1966-01,2/28/1966,1.9
1966-02,3/29/1966,2.6
1966-03,4/21/1966,2.6
1966-04,5/20/1966,2.9
1966-05,6/21/1966,2.9
1966-06,7/21/1966,2.5
1966-07,8/22/1966,2.8
1966-08,9/22/1966,3.5
1966-09,10/20/1966,3.5
1966-10,11/23/1966,3.8
1966-11,12/22/1966,3.8
1966-12,1/20/1967,3.5
1967-01,2/20/1967,3.5
1967-02,3/20/1967,2.8
1967-03,4/26/1967,2.8
1967-04,5/23/1967,2.5
1967-05,6/28/1967,2.8
1967-06,7/26/1967,2.8
1967-07,8/25/1967,2.8
1967-08,9/27/1967,2.4
1967-09,10/26/1967,2.8
1967-10,11/29/1967,2.4
1967-11,12/22/1967,2.7
1967-12,1/25/1968,3
1968-01,2/29/1968,3.6
1968-02,3/27/1968,4
1968-03,4/26/1968,3.9
1968-04,5/28/1968,3.9
1968-05,6/28/1968,3.9
1968-06,7/31/1968,4.2
1968-07,8/27/1968,4.5
1968-08,9/26/1968,4.5
1968-09,10/29/1968,4.5
1968-10,11/27/1968,4.7
1968-11,12/27/1968,4.7
1968-12,1/29/1969,4.7
1969-01,2/25/1969,4.4
1969-02,3/25/1969,4.7
1969-03,4/24/1969,5.2
1969-04,5/22/1969,5.5
1969-05,6/24/1969,5.5
1969-06,7/23/1969,5.5
1969-07,8/22/1969,5.4
1969-08,9/22/1969,5.7
1969-09,10/22/1969,5.7
1969-10,11/21/1969,5.7
1969-11,12/19/1969,5.9
1969-12,1/19/1970,6.2
1970-01,2/19/1970,6.2
1970-02,3/20/1970,6.1
1970-03,4/22/1970,5.8
1970-04,5/20/1970,6.1
1970-05,6/18/1970,6
1970-06,7/21/1970,6
1970-07,8/21/1970,6
1970-08,9/19/1970,5.4
1970-09,10/21/1970,5.7
1970-10,11/20/1970,5.6
1970-11,12/23/1970,5.6
1970-12,1/29/1971,5.6
1971-01,2/19/1971,5.3
1971-02,3/19/1971,5
1971-03,4/22/1971,4.7
1971-04,5/21/1971,4.2
1971-05,6/22/1971,4.4
1971-06,7/22/1971,4.6
1971-07,8/20/1971,4.4
1971-08,9/22/1971,4.6
1971-09,10/22/1971,4.1
1971-10,11/19/1971,3.8
1971-11,12/22/1971,3.3
1971-12,1/21/1972,3.3
1972-01,2/23/1972,3.3
1972-02,3/22/1972,3.5
1972-03,4/21/1972,3.5
1972-04,5/19/1972,3.5
1972-05,6/21/1972,3.2
1972-06,7/21/1972,2.7
1972-07,8/22/1972,2.9
1972-08,9/22/1972,2.9
1972-09,10/20/1972,3.2
1972-10,11/21/1972,3.4
1972-11,12/22/1972,3.7
